tissue,dataset_name,platform,expected_sender_cell_types,module_id,pathway,tier,evidence_status,expected_receiver_cell_types,training_coupling,training_gating,training_pattern_magnitude,training_status,corr_above_null,within_stratum_support,manual_review_required,source_experiment,source_manual_review_required,source_module_id,biobench_v2_action,included_in_clean,biobench_v2_notes
pleura,tissue::pleura,combined_cells_v13,epithelial;tumor;fibroblast,neuregulin_erbb_ligands,EGFR,ALL,training_ok,epithelial;tumor,0.0665898633916627,-0.0568731261120566,0.12346298950371931,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,egfr_erbb_ligands,split_egfr_erbb,true,Neuregulins retained as ERBB-axis rows.
pleura,tissue::pleura,combined_cells_v13,myeloid;tcell;bcell_plasma,il10_immune,JAK-STAT,ALL,training_underpowered,tcell;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family,true,IL10 immune receptor axis.
pleura,tissue::pleura,combined_cells_v13,myeloid;epithelial;tumor;fibroblast,il20_24_epithelial_stromal,JAK-STAT,ALL,training_underpowered,epithelial;tumor;fibroblast,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family,true,IL19/20/24 epithelial-stromal receptor axis.
pleura,tissue::pleura,combined_cells_v13,tcell;myeloid,il22_epithelial,JAK-STAT,ALL,training_underpowered,epithelial;tumor,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family,true,IL22RA1-restricted epithelial receiver logic; IL22RA2 is decoy-only.
pleura,tissue::pleura,combined_cells_v13,tcell;myeloid,il26_context_specific,JAK-STAT,ALL,training_underpowered,epithelial;tumor;myeloid,,,,UNDERPOWERED,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family_review,false,IL26 retained only in unfiltered audit rows.
pleura,tissue::pleura,combined_cells_v13,tcell;myeloid,il2_common_gamma_chain,JAK-STAT,ALL,training_ok,tcell;myeloid,,,,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,il2_family,tighten_sender_context,true,Removed broad fibroblast sender assignment.
pleura,tissue::pleura,combined_cells_v13,myeloid;fibroblast;epithelial;tumor,il6_gp130_family,JAK-STAT,ALL,training_underpowered,epithelial;tumor;myeloid;tcell,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il6_family,split_il6_gp130_il31,true,gp130 cytokine row with CRLF1 retained for CLCF1.
pleura,tissue::pleura,combined_cells_v13,myeloid;fibroblast;epithelial;tumor,il31_osmr_ligand,JAK-STAT,ALL,training_underpowered,epithelial;tumor;myeloid;tcell,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il6_family,split_il6_gp130_il31,true,IL31 split onto IL31RA/OSMR rather than generic IL6ST biology.
pleura,tissue::pleura,combined_cells_v13,tcell;myeloid;epithelial;tumor,type_i_interferons,JAK-STAT,ALL,training_underpowered,epithelial;tumor;tcell;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,interferons,split_interferon_types,true,Type I IFN receptor axis.
pleura,tissue::pleura,combined_cells_v13,tcell;myeloid;epithelial;tumor,type_ii_interferon,JAK-STAT,ALL,training_underpowered,epithelial;tumor;tcell;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,interferons,split_interferon_types,true,Type II IFN receptor axis.
pleura,tissue::pleura,combined_cells_v13,tcell;myeloid;epithelial;tumor,type_iii_interferons,JAK-STAT,ALL,training_underpowered,epithelial;tumor;tcell;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,interferons,split_interferon_types,true,Type III IFN receptor axis.
pleura,tissue::pleura,combined_cells_v13,myeloid;fibroblast;epithelial;tumor;endothelial;pericyte,tgfb_ligands,TGFb,ALL,training_underpowered,fibroblast;epithelial;tumor;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,tgfb_ligands,keep_minor_annotation_edit,true,Kept; TGFBR3 treated as accessory co-receptor.
pleura,tissue::pleura,combined_cells_v13,myeloid;tcell,tnf_lta_tnfr1_2,TNFa,ALL,training_underpowered,tcell;myeloid;endothelial,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,tnf_ligands,split_tnf_lymphotoxin,true,TNF/LTA homotrimer through TNFR1/2.
pleura,tissue::pleura,combined_cells_v13,myeloid;tcell,lymphotoxin_light_ltbr_hvem,TNFa,ALL,training_underpowered,tcell;myeloid;endothelial,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,tnf_ligands,split_tnf_lymphotoxin,true,LTB/LTBR and LIGHT/HVEM separated from TNFR1/2.
pleura,tissue::pleura,combined_cells_v13,tcell;myeloid,trail_death_receptor,Trail,ALL,training_ok,epithelial;tumor,-0.0044692711038011,0.0091085374833697,0.0135778085871708,OK,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,trail_fas_ligands,split_death_receptors_review,false,Valid pair but PROGENy Trail readout is context-review.
pleura,tissue::pleura,combined_cells_v13,tcell;myeloid,fas_death_receptor,Trail,ALL,training_ok,epithelial;tumor,-0.0044692711038011,0.0091085374833697,0.0135778085871708,OK,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,trail_fas_ligands,split_death_receptors_review,false,Valid pair but PROGENy Trail readout is context-review.
pleura,tissue::pleura,combined_cells_v13,epithelial;tumor;myeloid;fibroblast;pericyte,vegfa_vegfr2_axis,VEGF,ALL,training_ok,endothelial,-0.0831511234553511,-0.0380999418588869,0.12125106531423799,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,vegf_ligands,split_vegf_axes_tighten_receivers,true,VEGFA VEGFR2/1 axis; endothelial receivers only.
pleura,tissue::pleura,combined_cells_v13,epithelial;tumor;myeloid;fibroblast;pericyte,vegfb_pgf_vegfr1_axis,VEGF,ALL,training_ok,endothelial,-0.0831511234553511,-0.0380999418588869,0.12125106531423799,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,vegf_ligands,split_vegf_axes_tighten_receivers,true,VEGFR1-skewed VEGFB/PGF axis; endothelial receivers only.
pleura,tissue::pleura,combined_cells_v13,epithelial;tumor;myeloid;fibroblast;pericyte,vegfc_vegfd_vegfr3_axis,VEGF,ALL,training_ok,endothelial,-0.0831511234553511,-0.0380999418588869,0.12125106531423799,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,vegf_ligands,split_vegf_axes_tighten_receivers,true,VEGFR3/KDR VEGFC-D axis; endothelial receivers only.
pleura,tissue::pleura,combined_cells_v13,epithelial;tumor;fibroblast,canonical_wnt_ligands,WNT,ALL,training_underpowered,epithelial;tumor;fibroblast,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,wnt_ligands,split_wnt_canonical_review_noncanonical,true,Canonical-favoring WNT ligands retained for WNT/PROGENy readout.
pleura,tissue::pleura,combined_cells_v13,epithelial;tumor;fibroblast,noncanonical_wnt_ligands,WNT,ALL,training_underpowered,epithelial;tumor;fibroblast,,,,UNDERPOWERED,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,wnt_ligands,split_wnt_canonical_review_noncanonical,false,Noncanonical WNT rows retained only for audit manifest.
pleura,tissue::pleura,combined_cells_v13,epithelial;tumor;fibroblast,context_dependent_wnt_ligands,WNT,ALL,training_underpowered,epithelial;tumor;fibroblast,,,,UNDERPOWERED,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,wnt_ligands,split_wnt_canonical_review_noncanonical,false,Context-dependent WNT rows retained only for audit manifest.
prostate,tissue::prostate,combined_cells_v13,epithelial;tumor;fibroblast,egfr_ligands,EGFR,ALL,training_ok,epithelial;tumor,0.0877394110660307,-0.1109864838976859,0.1987258949637166,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,egfr_erbb_ligands,split_egfr_erbb,true,Split classical EGFR ligands from neuregulins.
prostate,tissue::prostate,combined_cells_v13,epithelial;tumor;fibroblast,neuregulin_erbb_ligands,EGFR,ALL,training_ok,epithelial;tumor,0.0877394110660307,-0.1109864838976859,0.1987258949637166,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,egfr_erbb_ligands,split_egfr_erbb,true,Neuregulins retained as ERBB-axis rows.
prostate,tissue::prostate,combined_cells_v13,myeloid;tcell;bcell_plasma,il10_immune,JAK-STAT,ALL,training_underpowered,tcell;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family,true,IL10 immune receptor axis.
prostate,tissue::prostate,combined_cells_v13,myeloid;epithelial;tumor;fibroblast,il20_24_epithelial_stromal,JAK-STAT,ALL,training_underpowered,epithelial;tumor;fibroblast,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family,true,IL19/20/24 epithelial-stromal receptor axis.
prostate,tissue::prostate,combined_cells_v13,tcell;myeloid,il22_epithelial,JAK-STAT,ALL,training_underpowered,epithelial;tumor,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family,true,IL22RA1-restricted epithelial receiver logic; IL22RA2 is decoy-only.
prostate,tissue::prostate,combined_cells_v13,tcell;myeloid,il26_context_specific,JAK-STAT,ALL,training_underpowered,epithelial;tumor;myeloid,,,,UNDERPOWERED,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family_review,false,IL26 retained only in unfiltered audit rows.
prostate,tissue::prostate,combined_cells_v13,tcell;myeloid,il2_common_gamma_chain,JAK-STAT,ALL,training_ok,tcell;myeloid,0.0493015409157966,-0.0061203632997054,0.055421904215502,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,il2_family,tighten_sender_context,true,Removed broad fibroblast sender assignment.
prostate,tissue::prostate,combined_cells_v13,myeloid;fibroblast;epithelial;tumor,il6_gp130_family,JAK-STAT,ALL,training_ok,epithelial;tumor;myeloid;tcell,-0.0593061051441492,-0.0513002555521172,0.11060636069626639,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,il6_family,split_il6_gp130_il31,true,gp130 cytokine row with CRLF1 retained for CLCF1.
prostate,tissue::prostate,combined_cells_v13,myeloid;fibroblast;epithelial;tumor,il31_osmr_ligand,JAK-STAT,ALL,training_ok,epithelial;tumor;myeloid;tcell,-0.0593061051441492,-0.0513002555521172,0.11060636069626639,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,il6_family,split_il6_gp130_il31,true,IL31 split onto IL31RA/OSMR rather than generic IL6ST biology.
prostate,tissue::prostate,combined_cells_v13,tcell;myeloid;epithelial;tumor,type_i_interferons,JAK-STAT,ALL,training_ok,epithelial;tumor;tcell;myeloid,0.1037483719018876,0.044472469296837,0.14822084119872458,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,interferons,split_interferon_types,true,Type I IFN receptor axis.
prostate,tissue::prostate,combined_cells_v13,tcell;myeloid;epithelial;tumor,type_ii_interferon,JAK-STAT,ALL,training_ok,epithelial;tumor;tcell;myeloid,0.1037483719018876,0.044472469296837,0.14822084119872458,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,interferons,split_interferon_types,true,Type II IFN receptor axis.
prostate,tissue::prostate,combined_cells_v13,tcell;myeloid;epithelial;tumor,type_iii_interferons,JAK-STAT,ALL,training_ok,epithelial;tumor;tcell;myeloid,0.1037483719018876,0.044472469296837,0.14822084119872458,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,interferons,split_interferon_types,true,Type III IFN receptor axis.
prostate,tissue::prostate,combined_cells_v13,myeloid;fibroblast;epithelial;tumor;endothelial;pericyte,tgfb_ligands,TGFb,ALL,training_ok,fibroblast;epithelial;tumor;myeloid,0.0654153870765995,-0.0698351784355848,0.13525056551218428,OK,True,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,tgfb_ligands,keep_minor_annotation_edit,true,Kept; TGFBR3 treated as accessory co-receptor.
prostate,tissue::prostate,combined_cells_v13,myeloid;tcell,tnf_lta_tnfr1_2,TNFa,ALL,training_underpowered,tcell;myeloid;endothelial,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,tnf_ligands,split_tnf_lymphotoxin,true,TNF/LTA homotrimer through TNFR1/2.
prostate,tissue::prostate,combined_cells_v13,myeloid;tcell,lymphotoxin_light_ltbr_hvem,TNFa,ALL,training_underpowered,tcell;myeloid;endothelial,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,tnf_ligands,split_tnf_lymphotoxin,true,LTB/LTBR and LIGHT/HVEM separated from TNFR1/2.
prostate,tissue::prostate,combined_cells_v13,tcell;myeloid,trail_death_receptor,Trail,ALL,training_underpowered,epithelial;tumor,,,,UNDERPOWERED,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,trail_fas_ligands,split_death_receptors_review,false,Valid pair but PROGENy Trail readout is context-review.
prostate,tissue::prostate,combined_cells_v13,tcell;myeloid,fas_death_receptor,Trail,ALL,training_underpowered,epithelial;tumor,,,,UNDERPOWERED,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,trail_fas_ligands,split_death_receptors_review,false,Valid pair but PROGENy Trail readout is context-review.
prostate,tissue::prostate,combined_cells_v13,epithelial;tumor;myeloid;fibroblast;pericyte,vegfa_vegfr2_axis,VEGF,ALL,training_ok,endothelial,0.0039315231058144,-0.0975791119440443,0.1015106350498587,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,vegf_ligands,split_vegf_axes_tighten_receivers,true,VEGFA VEGFR2/1 axis; endothelial receivers only.
prostate,tissue::prostate,combined_cells_v13,epithelial;tumor;myeloid;fibroblast;pericyte,vegfb_pgf_vegfr1_axis,VEGF,ALL,training_ok,endothelial,0.0039315231058144,-0.0975791119440443,0.1015106350498587,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,vegf_ligands,split_vegf_axes_tighten_receivers,true,VEGFR1-skewed VEGFB/PGF axis; endothelial receivers only.
prostate,tissue::prostate,combined_cells_v13,epithelial;tumor;myeloid;fibroblast;pericyte,vegfc_vegfd_vegfr3_axis,VEGF,ALL,training_ok,endothelial,0.0039315231058144,-0.0975791119440443,0.1015106350498587,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,vegf_ligands,split_vegf_axes_tighten_receivers,true,VEGFR3/KDR VEGFC-D axis; endothelial receivers only.
prostate,tissue::prostate,combined_cells_v13,epithelial;tumor;fibroblast,canonical_wnt_ligands,WNT,ALL,training_ok,epithelial;tumor;fibroblast,0.0336020253686916,-0.088583200797953,0.1221852261666446,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,wnt_ligands,split_wnt_canonical_review_noncanonical,true,Canonical-favoring WNT ligands retained for WNT/PROGENy readout.
prostate,tissue::prostate,combined_cells_v13,epithelial;tumor;fibroblast,noncanonical_wnt_ligands,WNT,ALL,training_ok,epithelial;tumor;fibroblast,0.0336020253686916,-0.088583200797953,0.1221852261666446,OK,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,wnt_ligands,split_wnt_canonical_review_noncanonical,false,Noncanonical WNT rows retained only for audit manifest.
prostate,tissue::prostate,combined_cells_v13,epithelial;tumor;fibroblast,context_dependent_wnt_ligands,WNT,ALL,training_ok,epithelial;tumor;fibroblast,0.0336020253686916,-0.088583200797953,0.1221852261666446,OK,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,wnt_ligands,split_wnt_canonical_review_noncanonical,false,Context-dependent WNT rows retained only for audit manifest.
